team,best_venue,win_pct,matches,wins
Mumbai Indians,Brabourne Stadium,71.4,7,5
Chennai Super Kings,Maharashtra Cricket Association Stadium,83.3,6,5
Royal Challengers Bengaluru,"Punjab Cricket Association Stadium, Mohali",70.0,10,7
Kolkata Knight Riders,Rajiv Gandhi International Stadium,70.0,10,7
Delhi Capitals,Shaheed Veer Narayan Singh International Stadium,66.7,6,4
Punjab Kings,Sharjah Cricket Stadium,71.4,7,5
Rajasthan Royals,Sheikh Zayed Stadium,71.4,7,5
Sunrisers Hyderabad,Arun Jaitley Stadium,64.7,17,11
Gujarat Titans,Wankhede Stadium,66.7,6,4
Lucknow Super Giants,Eden Gardens,60.0,5,3
