batter,innings,runs,avg_runs,strike_rate,boundary_pct
V Suryavanshi,22,1024,46.5,217.4,37.4
Priyansh Arya,31,909,29.3,185.1,30.5
Abhishek Sharma,45,1448,32.2,178.3,29.1
PD Salt,35,1148,32.8,169.8,27.8
TM Head,38,1297,34.1,169.8,28.8
RD Rickelton,23,805,35.0,165.0,26.0
SP Narine,24,661,27.5,164.4,28.1
P Simran Singh,46,1492,32.4,160.1,25.3
MR Marsh,30,1301,43.4,157.1,23.8
SV Samson,24,858,35.8,155.4,24.6
YBK Jaiswal,59,2046,34.7,152.7,25.1
Shubman Gill,57,2538,44.5,151.3,20.3
Ishan Kishan,32,940,29.4,150.4,24.5
B Sai Sudharsan,37,1717,46.4,148.8,21.1
F du Plessis,34,1181,34.7,147.3,20.2
